cause_i,effect_j,lingam_b_ij,b_median_bootstrap,b_iqr_low,b_iqr_high,bootstrap_freq,is_stable_edge,has_path,n_int_cells,mw_pvalue_raw,mw_p_bh,wasserstein,verdict,mw_pvalue_raw_rev,mw_p_bh_rev
ENSG00000137818,ENSG00000149273,0.0,0.0,0.0,0.0,0.0,False,False,94,0.00024087296573463253,0.00032075895563149053,0.10718600630893937,false_omission,1.415190636841786e-51,1.5567097005259644e-50
ENSG00000138326,ENSG00000083845,0.0,0.0,0.0,0.0,0.22,False,True,194,2.27459788356827e-07,3.4610596038156963e-07,0.10680479310399532,indirect_path,3.507571493201759e-32,1.5180309413201054e-31
ENSG00000089157,ENSG00000105372,0.0,0.0,0.0,0.0,0.0,False,False,147,6.193759927329159e-06,8.838662815215664e-06,0.10650741882949902,false_omission,1.150270940125464e-12,2.0587900216482884e-12
ENSG00000112306,ENSG00000083845,0.0,0.0,0.0,0.0,0.02,False,False,388,3.5525706084011456e-12,6.283943990739715e-12,0.10644006768277309,false_omission,1.2641592450543235e-18,2.9275266727573807e-18
ENSG00000089157,ENSG00000144713,0.0,-0.033904646045209624,-0.0481525361333704,0.0,0.56,False,False,147,4.350895617992968e-07,6.56363681800082e-07,0.106201767431921,false_omission,0.7061132085462849,0.722534445954338
ENSG00000161970,ENSG00000142534,0.0,0.0,0.0,0.0,0.2,False,True,167,3.4768314397174246e-05,4.7806432296114585e-05,0.10617944475819362,indirect_path,5.777828566203099e-26,1.9247277494985716e-25
ENSG00000163682,ENSG00000109475,0.0,0.0742508492212581,0.05312694119050535,0.08736232981494976,0.76,False,False,194,5.100512282978887e-07,7.639916270674758e-07,0.10617727263062546,false_omission,0.0010285885277182747,0.0013426322438448678
ENSG00000161970,ENSG00000105372,0.0,0.0,0.0,0.061438394180219354,0.44,False,False,167,9.623999993745588e-06,1.3532548593069694e-05,0.10584673364860445,false_omission,7.8118965519625745e-56,1.1784803941246399e-54
ENSG00000233927,ENSG00000089157,0.0,0.0,0.0,0.0,0.16,False,True,247,3.4550622888642615e-09,5.613147349293323e-09,0.10566463194248427,indirect_path,2.673657948308249e-09,4.370561599711317e-09
ENSG00000089157,ENSG00000142534,0.0,0.0,0.0,0.05594210893551453,0.46,False,False,147,8.533891589965171e-05,0.00011598184709141853,0.10559223141101104,false_omission,1.1772623138408536e-10,2.00191465928493e-10
ENSG00000163682,ENSG00000122026,0.0,0.0,0.0,0.048144220400002505,0.35,False,False,194,4.29845610027513e-07,6.493804924020797e-07,0.10554162092331434,false_omission,0.13404852408521212,0.14869248049788236
ENSG00000108298,ENSG00000145592,0.0,0.0,0.0,0.0,0.18,False,False,190,2.6015515040560016e-05,3.591161291873383e-05,0.10522689712294274,false_omission,0.05631763234702998,0.06513846632909492
ENSG00000089009,ENSG00000083845,0.0,0.0,0.0,0.0,0.09,False,False,218,3.4315825723134545e-06,4.957251978608766e-06,0.10485713732349779,false_omission,3.275793944277168e-21,8.499357260827247e-21
ENSG00000198755,ENSG00000265681,0.0,0.0,0.0,0.0,0.15,False,False,206,3.9356085890149423e-07,5.96270110473426e-07,0.10397323237499832,false_omission,2.565416963931963e-09,4.2001245176932605e-09
ENSG00000144713,ENSG00000233927,0.0,0.0,0.0,0.0,0.03,False,False,166,0.0008192977309939184,0.0010734223373816102,0.10365148237726764,false_omission,1.403590837919207e-25,4.603080511933797e-25
ENSG00000109475,ENSG00000083845,0.0,0.0,0.0,0.0,0.02,False,False,264,3.092802558976513e-06,4.4801090566244135e-06,0.10255325749490671,false_omission,1.3072706343479911e-25,4.30055386252797e-25
ENSG00000144713,ENSG00000138326,0.0,0.0,0.0,0.0,0.02,False,False,166,0.0002842098471861149,0.0003760972413891445,0.10244537199950199,false_omission,6.711900362814292e-35,3.22171217415086e-34
ENSG00000163682,ENSG00000145592,0.0,0.0,0.0,0.022676609683476467,0.26,False,False,194,1.2006712329467508e-06,1.7658897242225193e-06,0.1020074794354411,false_omission,2.099446306346128e-06,3.062175828040761e-06
ENSG00000186468,ENSG00000089157,0.0,0.0,0.0,0.03882366968252977,0.34,False,False,91,0.00026684936382256815,0.000354456513454883,0.09923186664449285,false_omission,0.00017007411419690002,0.00022849651983705653
ENSG00000198755,ENSG00000231500,0.0,0.0,0.0,0.0,0.06,False,False,206,5.519148582119826e-09,8.870960278110405e-09,0.0983395540677417,false_omission,7.108383889204405e-09,1.1373414222727049e-08
ENSG00000089157,ENSG00000188846,0.0,0.0,0.0,0.0,0.1,False,False,147,7.728937320441991e-05,0.00010531300400499023,0.09774461336641513,false_omission,0.5910750607280771,0.6137416559772364
ENSG00000198755,ENSG00000188846,0.0,0.0,0.0,0.0,0.16,False,False,206,9.77281453739558e-06,1.3723526797193792e-05,0.09764920319335972,false_omission,4.78946313960803e-06,6.899963267975552e-06
ENSG00000145592,ENSG00000149273,0.0,0.0,0.0,0.030816848934637264,0.34,False,False,306,2.564562049806482e-09,4.2001245176932605e-09,0.0975928252831929,false_omission,4.174547642216428e-57,6.679276227546285e-56
ENSG00000167526,ENSG00000108298,0.0,0.0,0.0,0.0,0.03,False,False,270,2.180258952866297e-10,3.677880917295223e-10,0.0975347489586651,false_omission,4.784530772029774e-13,8.696152315427609e-13
ENSG00000144713,ENSG00000137818,0.0,0.0,0.0,0.0,0.0,False,False,166,0.04268006700120428,0.049966907708726964,0.09688168327032626,false_omission,0.1695741543936039,0.1857646478985117
ENSG00000142534,ENSG00000083845,0.0,0.0,0.0,0.0,0.18,False,False,214,5.358981413579859e-07,8.01570024467469e-07,0.0967330929623835,false_omission,3.219916937148785e-30,1.292863986931223e-29
